activity_id,rep_id,doctor_id,product_id,meeting_date,calls,visits,samples_distributed,meeting_type,engagement_score
C02419,R030,D0649,P003,2024-06-13,2,2,1,In-person,0.669
C02420,R005,D0054,P008,2024-06-03,2,1,3,In-person,0.95
C02421,R016,D0400,P003,2024-06-26,2,1,6,Clinic Camp,0.799
C02422,R017,D0531,P005,2024-06-20,3,2,1,In-person,0.965
C02423,R023,D0843,P002,2024-06-13,3,1,5,In-person,0.875
C02424,R062,D0198,P003,2024-06-21,1,1,3,In-person,0.884
C02425,R068,D0086,P007,2024-06-19,3,2,6,Clinic Camp,1.03
C02426,R052,D0584,P005,2024-06-18,4,1,3,Clinic Camp,0.931
C02427,R031,D0768,P005,2024-06-12,2,2,0,In-person,0.96
C02428,R009,D0510,P005,2024-06-11,3,2,2,In-person,1.035
C02429,R068,D0086,P002,2024-06-08,3,2,0,In-person,0.913
C02430,R029,D0453,P008,2024-06-24,4,1,1,Virtual,0.859
C02431,R016,D0372,P004,2024-06-15,3,1,3,In-person,0.814
C02432,R028,D0313,P001,2024-06-15,2,2,6,In-person,1.08
C02433,R063,D0011,P008,2024-06-22,1,2,4,Clinic Camp,0.906
C02434,R063,D0223,P001,2024-06-16,4,2,2,Clinic Camp,1.06
C02435,R062,D0786,P008,2024-06-29,2,1,4,In-person,0.891
C02436,R037,D0019,P003,2024-06-08,4,2,1,In-person,0.872
C02437,R053,D0824,P001,2024-06-02,1,1,0,In-person,0.684
C02438,R047,D0404,P002,2024-06-13,2,2,5,In-person,0.936
C02439,R026,D0582,P006,2024-06-16,4,1,5,Clinic Camp,1.089
C02440,R010,D0755,P005,2024-06-25,1,1,4,In-person,0.664
C02441,R021,D0206,P002,2024-06-20,2,2,3,Clinic Camp,1.008
C02442,R054,D0837,P003,2024-06-29,4,1,3,In-person,1.118
C02443,R023,D0224,P002,2024-06-03,2,2,2,Clinic Camp,0.768
C02444,R049,D0294,P006,2024-06-17,4,1,6,In-person,1.029
C02445,R024,D0385,P007,2024-06-25,3,1,3,In-person,0.944
C02446,R041,D0505,P003,2024-06-16,4,1,6,In-person,1.098
C02447,R043,D0220,P008,2024-06-09,3,2,0,In-person,0.767
C02448,R046,D0650,P004,2024-06-24,1,2,2,In-person,0.863
C02449,R068,D0034,P001,2024-06-27,4,2,1,In-person,1.011
C02450,R033,D0629,P003,2024-06-08,2,1,0,In-person,0.757
C02451,R023,D0516,P007,2024-06-17,2,1,6,In-person,1.054
C02452,R028,D0363,P007,2024-06-25,3,2,0,In-person,0.923
C02453,R010,D0423,P006,2024-06-05,2,1,3,Clinic Camp,0.87
C02454,R017,D0606,P004,2024-06-01,2,2,1,In-person,0.878
C02455,R038,D0754,P007,2024-06-23,3,1,0,In-person,0.869
C02456,R072,D0160,P006,2024-06-23,3,2,6,In-person,1.092
C02457,R049,D0440,P007,2024-06-05,3,1,2,In-person,0.957
C02458,R014,D0473,P005,2024-06-18,1,1,2,In-person,0.684
C02459,R018,D0249,P005,2024-06-22,4,1,1,In-person,0.95
C02460,R069,D0832,P008,2024-06-29,3,1,4,Virtual,0.937
C02461,R038,D0468,P008,2024-06-25,3,2,6,In-person,0.916
C02462,R042,D0414,P005,2024-06-07,4,1,2,In-person,0.88
C02463,R037,D0117,P002,2024-06-18,2,1,5,In-person,0.941
C02464,R004,D0297,P004,2024-06-22,1,1,2,Clinic Camp,0.709
C02465,R058,D0426,P005,2024-06-09,1,2,3,In-person,1.063
C02466,R035,D0397,P006,2024-06-05,4,2,5,Virtual,1.177
C02467,R013,D0660,P003,2024-06-14,4,2,6,Virtual,1.154
C02468,R070,D0082,P001,2024-06-22,1,1,4,Virtual,0.903
C02469,R003,D0159,P007,2024-06-16,3,1,2,In-person,0.948
C02470,R022,D0243,P008,2024-06-19,3,1,3,In-person,0.919
C02471,R057,D0277,P001,2024-06-20,1,1,6,Clinic Camp,0.705
C02472,R050,D0723,P003,2024-06-29,4,1,2,In-person,1.009
C02473,R032,D0659,P004,2024-06-20,2,1,3,In-person,0.946
C02474,R034,D0306,P007,2024-06-05,1,2,5,In-person,0.843
C02475,R023,D0378,P007,2024-06-13,3,2,5,Clinic Camp,0.884
C02476,R035,D0274,P003,2024-06-06,4,2,3,Clinic Camp,0.978
C02477,R007,D0476,P003,2024-06-23,1,1,6,Clinic Camp,0.959
C02478,R017,D0561,P004,2024-06-30,3,1,6,In-person,0.964
C02479,R027,D0656,P002,2024-06-24,3,2,3,Clinic Camp,1.111
C02480,R048,D0738,P004,2024-06-08,3,1,1,In-person,0.87
C02481,R053,D0550,P003,2024-06-21,3,2,1,Virtual,0.918
C02482,R040,D0360,P001,2024-06-01,3,1,0,In-person,1.021
C02483,R011,D0079,P006,2024-06-09,1,2,1,In-person,0.788
C02484,R065,D0561,P007,2024-06-10,1,2,0,Virtual,0.78
C02485,R006,D0708,P003,2024-06-15,4,2,2,In-person,1.083
C02486,R060,D0506,P004,2024-06-10,2,1,6,In-person,0.865
C02487,R025,D0793,P004,2024-06-13,4,2,1,In-person,1.09
C02488,R032,D0366,P001,2024-06-01,2,2,2,In-person,0.942
C02489,R071,D0039,P005,2024-06-25,2,2,2,In-person,0.945
C02490,R003,D0615,P004,2024-06-12,1,1,3,Virtual,0.715
C02491,R022,D0082,P008,2024-06-25,2,2,3,Clinic Camp,0.791
C02492,R004,D0048,P003,2024-06-02,4,1,4,Virtual,0.925
C02493,R067,D0631,P007,2024-06-26,4,1,0,In-person,0.86
C02494,R014,D0381,P004,2024-06-19,2,1,2,In-person,0.839
C02495,R051,D0594,P002,2024-06-07,2,2,6,In-person,0.913
C02496,R060,D0704,P003,2024-06-23,3,2,6,In-person,0.931
C02497,R057,D0324,P008,2024-06-23,4,2,0,Clinic Camp,0.918
C02498,R001,D0573,P003,2024-06-22,3,2,4,Clinic Camp,1.043
C02499,R067,D0457,P007,2024-06-27,1,2,0,In-person,0.855
C02500,R027,D0565,P006,2024-06-29,2,1,3,In-person,0.793
C02501,R065,D0561,P006,2024-06-05,3,2,0,In-person,0.908
C02502,R040,D0372,P007,2024-06-09,1,2,5,In-person,0.939
C02503,R034,D0362,P005,2024-06-02,3,1,6,Clinic Camp,0.971
C02504,R051,D0594,P005,2024-06-02,4,2,0,Clinic Camp,1.105
C02505,R014,D0110,P001,2024-06-04,2,2,2,In-person,0.893
C02506,R017,D0163,P006,2024-06-21,3,2,1,In-person,0.891
C02507,R012,D0118,P006,2024-06-19,3,2,1,In-person,1.045
C02508,R043,D0140,P001,2024-06-02,3,1,5,Virtual,0.915
C02509,R037,D0272,P005,2024-06-13,1,2,0,In-person,0.737
C02510,R026,D0829,P005,2024-06-04,3,2,0,Clinic Camp,1.011
C02511,R064,D0787,P003,2024-06-06,1,1,2,In-person,0.862
C02512,R058,D0575,P001,2024-06-02,3,2,2,In-person,0.991
C02513,R048,D0467,P001,2024-06-16,2,1,6,In-person,0.808
C02514,R016,D0237,P002,2024-06-03,4,1,2,Clinic Camp,1.079
C02515,R056,D0371,P002,2024-06-24,1,1,3,Virtual,0.794
C02516,R059,D0668,P002,2024-06-28,4,2,0,In-person,1.028
C02517,R020,D0774,P005,2024-06-26,1,1,2,Virtual,0.714
C02518,R025,D0819,P004,2024-06-25,3,1,1,Clinic Camp,0.958
C02519,R040,D0372,P001,2024-06-23,2,2,2,Clinic Camp,0.817
C02520,R048,D0389,P001,2024-06-28,1,2,2,Virtual,0.74
C02521,R066,D0405,P006,2024-06-27,1,1,0,In-person,0.862
C02522,R040,D0067,P008,2024-06-07,1,1,3,In-person,0.695
C02523,R033,D0121,P007,2024-06-19,1,2,3,In-person,0.931
C02524,R034,D0038,P007,2024-06-10,2,1,3,In-person,0.944
C02525,R044,D0646,P003,2024-06-26,1,2,2,Clinic Camp,0.853
C02526,R035,D0240,P006,2024-06-01,4,1,3,In-person,0.904
C02527,R045,D0518,P001,2024-06-13,4,2,5,In-person,1.15
C02528,R058,D0231,P002,2024-06-12,2,2,1,In-person,0.999
C02529,R029,D0731,P002,2024-06-26,1,2,1,In-person,0.845
C02530,R052,D0128,P002,2024-06-09,4,1,4,In-person,0.932
C02531,R048,D0289,P003,2024-06-27,3,2,0,In-person,0.964
C02532,R039,D0179,P001,2024-06-15,1,1,2,In-person,0.635
C02533,R013,D0272,P007,2024-06-21,1,1,4,In-person,0.704
C02534,R025,D0552,P006,2024-06-16,3,1,4,In-person,0.901
C02535,R035,D0191,P006,2024-06-13,1,1,5,In-person,0.805
C02536,R007,D0579,P002,2024-06-10,3,2,3,In-person,0.898
C02537,R059,D0826,P007,2024-06-09,2,2,3,In-person,0.944
C02538,R045,D0008,P001,2024-06-20,4,2,0,In-person,1.052
C02539,R019,D0041,P008,2024-06-10,2,1,5,In-person,0.853
C02540,R067,D0797,P006,2024-06-26,2,2,1,In-person,0.715
C02541,R047,D0516,P002,2024-06-04,3,1,5,In-person,0.948
C02542,R014,D0754,P002,2024-06-07,4,2,4,In-person,1.227
C02543,R055,D0588,P006,2024-06-02,3,2,6,Clinic Camp,1.085
C02544,R051,D0656,P007,2024-06-26,3,2,6,In-person,1.049
C02545,R004,D0155,P004,2024-06-13,2,2,2,In-person,0.876
C02546,R053,D0453,P001,2024-06-02,2,2,2,In-person,0.952
C02547,R021,D0248,P004,2024-06-02,1,1,6,In-person,0.835
C02548,R015,D0743,P004,2024-06-28,2,2,6,Clinic Camp,1.035
C02549,R025,D0032,P003,2024-06-27,4,2,4,In-person,0.994
C02550,R006,D0006,P008,2024-06-09,1,1,6,In-person,0.828
C02551,R055,D0536,P003,2024-06-20,1,1,4,Clinic Camp,0.745
C02552,R013,D0827,P002,2024-06-08,3,2,0,In-person,0.97
C02553,R068,D0847,P006,2024-06-26,4,1,3,In-person,0.818
C02554,R049,D0553,P005,2024-06-22,4,2,2,In-person,1.015
C02555,R028,D0297,P005,2024-06-14,3,1,0,In-person,0.893
C02556,R039,D0196,P005,2024-06-28,3,2,3,Clinic Camp,1.05
C02557,R052,D0830,P003,2024-06-07,2,1,3,In-person,0.832
C02558,R071,D0134,P003,2024-06-30,2,2,5,In-person,0.787
C02559,R067,D0076,P001,2024-06-09,2,1,5,In-person,0.921
C02560,R061,D0341,P002,2024-06-27,1,1,2,In-person,0.873
C02561,R038,D0347,P005,2024-06-26,2,2,6,In-person,0.911
C02562,R047,D0378,P004,2024-06-17,1,2,3,In-person,0.82
C02563,R038,D0754,P006,2024-06-04,3,1,3,Virtual,0.969
C02564,R018,D0211,P007,2024-06-23,4,2,1,In-person,1.095
C02565,R052,D0719,P005,2024-06-21,4,1,6,Clinic Camp,1.116
C02566,R049,D0133,P001,2024-06-26,4,1,2,Clinic Camp,1.037
C02567,R003,D0226,P001,2024-06-07,2,1,1,Virtual,0.675
C02568,R030,D0006,P002,2024-06-08,4,2,5,In-person,1.062
C02569,R045,D0518,P003,2024-06-11,4,1,6,Clinic Camp,1.078
C02570,R026,D0762,P001,2024-06-12,3,1,1,In-person,0.861
C02571,R008,D0697,P007,2024-06-01,1,2,4,In-person,0.901
C02572,R050,D0184,P003,2024-06-05,4,1,6,In-person,1.018
C02573,R041,D0617,P006,2024-06-15,1,1,4,In-person,0.747
C02574,R054,D0136,P002,2024-06-30,2,1,3,In-person,0.815
C02575,R018,D0437,P001,2024-06-04,3,2,4,In-person,0.922
C02576,R066,D0481,P002,2024-06-08,4,2,0,Virtual,0.952
C02577,R013,D0075,P004,2024-06-26,4,1,6,In-person,1.023
C02578,R041,D0053,P004,2024-06-02,4,2,3,In-person,1.06
C02579,R072,D0057,P004,2024-06-03,2,1,0,In-person,0.825
C02580,R024,D0568,P008,2024-06-27,1,2,2,Virtual,0.813
C02581,R005,D0598,P006,2024-06-08,4,2,2,Clinic Camp,1.18
C02582,R064,D0103,P006,2024-06-10,4,1,6,Virtual,1.126
C02583,R072,D0396,P001,2024-06-01,2,2,6,In-person,0.938
C02584,R045,D0682,P004,2024-06-13,3,2,2,In-person,0.992
C02585,R053,D0222,P005,2024-06-30,4,2,1,Clinic Camp,1.125
C02586,R058,D0423,P005,2024-06-30,1,1,0,Clinic Camp,0.659
C02587,R066,D0229,P008,2024-06-20,4,1,3,Clinic Camp,0.914
C02588,R027,D0192,P004,2024-06-21,3,2,3,In-person,1.098
C02589,R053,D0382,P003,2024-06-20,3,1,3,In-person,0.959
C02590,R002,D0303,P008,2024-06-21,1,1,1,In-person,0.814
C02591,R049,D0488,P003,2024-06-16,3,2,5,In-person,1.055
C02592,R038,D0115,P005,2024-06-07,2,2,3,Virtual,0.904
C02593,R019,D0345,P001,2024-07-27,3,2,6,Clinic Camp,0.941
C02594,R002,D0628,P002,2024-07-28,3,2,1,In-person,0.969
C02595,R042,D0316,P001,2024-07-05,4,1,1,In-person,1.037
C02596,R028,D0454,P004,2024-07-03,3,1,4,In-person,1.022
C02597,R025,D0089,P008,2024-07-25,3,2,4,In-person,1.098
C02598,R001,D0094,P001,2024-07-02,2,1,2,In-person,0.879
C02599,R024,D0620,P008,2024-07-26,2,1,3,In-person,1.011
C02600,R054,D0512,P007,2024-07-31,3,1,3,In-person,0.78
C02601,R030,D0587,P001,2024-07-02,4,2,4,In-person,1.1
C02602,R039,D0576,P001,2024-07-25,3,2,4,In-person,0.937
C02603,R037,D0075,P008,2024-07-05,3,1,1,In-person,0.992
C02604,R040,D0798,P005,2024-07-09,2,2,0,In-person,0.826
C02605,R033,D0328,P002,2024-07-17,3,1,1,In-person,0.949
C02606,R053,D0816,P008,2024-07-22,3,2,0,Clinic Camp,0.904
C02607,R038,D0381,P005,2024-07-03,3,1,3,In-person,0.938
C02608,R021,D0283,P006,2024-07-04,2,2,3,In-person,0.915
C02609,R043,D0524,P006,2024-07-09,2,2,0,Clinic Camp,0.869
C02610,R010,D0112,P002,2024-07-22,2,2,5,In-person,0.987
C02611,R011,D0555,P003,2024-07-13,2,2,5,In-person,1.034
C02612,R013,D0839,P002,2024-07-09,2,1,3,Clinic Camp,0.825
C02613,R031,D0569,P005,2024-07-05,1,2,1,In-person,0.889
C02614,R069,D0009,P008,2024-07-31,3,1,1,In-person,0.951
C02615,R048,D0523,P006,2024-07-22,4,2,6,In-person,1.085
C02616,R030,D0059,P006,2024-07-31,1,2,1,Clinic Camp,0.969
C02617,R006,D0095,P002,2024-07-16,3,1,6,In-person,1.018
C02618,R007,D0349,P005,2024-07-26,4,2,4,In-person,1.047
C02619,R064,D0344,P008,2024-07-20,4,1,4,Clinic Camp,1.041
C02620,R053,D0001,P001,2024-07-17,4,1,5,In-person,1.093
C02621,R055,D0010,P002,2024-07-15,2,2,6,Virtual,1.025
C02622,R010,D0640,P006,2024-07-16,1,2,1,In-person,0.834
C02623,R046,D0392,P001,2024-07-13,4,1,6,In-person,0.752
C02624,R026,D0184,P002,2024-07-20,3,2,0,In-person,0.863
C02625,R051,D0296,P008,2024-07-16,2,1,5,In-person,0.924
C02626,R038,D0597,P001,2024-07-31,4,2,2,In-person,0.967
C02627,R056,D0622,P004,2024-07-28,2,1,4,In-person,0.893
C02628,R019,D0218,P003,2024-07-15,3,2,5,In-person,1.101
C02629,R002,D0184,P004,2024-07-13,4,1,3,Virtual,0.965
C02630,R014,D0776,P003,2024-07-24,4,2,0,In-person,0.869
C02631,R018,D0437,P003,2024-07-20,3,1,5,Virtual,0.881
C02632,R050,D0838,P007,2024-07-08,1,1,0,In-person,0.765
C02633,R065,D0384,P001,2024-07-26,4,2,4,In-person,1.183
C02634,R070,D0066,P002,2024-07-22,2,2,3,Clinic Camp,0.757
C02635,R008,D0402,P003,2024-07-20,3,2,3,In-person,1.0
C02636,R050,D0261,P007,2024-07-25,3,1,1,Virtual,0.751
C02637,R039,D0576,P004,2024-07-08,1,1,3,Clinic Camp,0.771
C02638,R052,D0560,P001,2024-07-25,3,1,1,Clinic Camp,0.855
C02639,R053,D0052,P005,2024-07-04,2,1,1,In-person,0.987
C02640,R026,D0582,P006,2024-07-25,2,1,3,In-person,0.791
C02641,R058,D0225,P004,2024-07-19,4,2,5,In-person,1.184
C02642,R060,D0539,P001,2024-07-19,3,2,3,In-person,1.075
C02643,R019,D0345,P008,2024-07-23,2,2,6,In-person,0.962
C02644,R068,D0546,P007,2024-07-10,1,2,1,Clinic Camp,0.828
C02645,R039,D0563,P008,2024-07-24,3,2,0,In-person,0.94
C02646,R008,D0300,P008,2024-07-01,3,1,2,In-person,0.826
C02647,R057,D0181,P003,2024-07-22,1,1,0,Clinic Camp,0.644
C02648,R039,D0563,P004,2024-07-25,4,2,3,In-person,1.031
C02649,R061,D0827,P008,2024-07-01,2,2,6,Virtual,0.887
C02650,R015,D0374,P004,2024-07-22,3,2,3,Clinic Camp,0.954
C02651,R013,D0839,P007,2024-07-24,4,2,1,Clinic Camp,1.012
C02652,R054,D0167,P006,2024-07-17,3,2,4,In-person,1.025
C02653,R001,D0751,P008,2024-07-19,4,1,5,In-person,1.045
C02654,R016,D0831,P001,2024-07-02,1,1,6,In-person,0.802
C02655,R040,D0344,P006,2024-07-31,2,2,3,Virtual,0.862
C02656,R021,D0085,P007,2024-07-30,1,1,2,In-person,0.78
C02657,R061,D0489,P002,2024-07-24,1,1,3,In-person,0.827
C02658,R020,D0722,P006,2024-07-01,2,2,1,In-person,0.849
C02659,R067,D0024,P002,2024-07-14,1,2,0,In-person,0.721
C02660,R011,D0567,P008,2024-07-26,2,1,5,Clinic Camp,0.834
C02661,R042,D0675,P008,2024-07-21,1,2,0,In-person,0.785
C02662,R031,D0023,P001,2024-07-29,1,2,4,In-person,0.964
C02663,R045,D0386,P005,2024-07-20,4,1,4,In-person,1.048
C02664,R016,D0067,P004,2024-07-23,3,2,3,Virtual,0.994
C02665,R048,D0147,P008,2024-07-11,2,1,2,In-person,0.968
C02666,R035,D0428,P003,2024-07-26,3,1,6,In-person,0.955
C02667,R042,D0249,P006,2024-07-17,2,1,5,Virtual,0.983
C02668,R024,D0057,P001,2024-07-25,2,1,1,In-person,0.896
C02669,R068,D0684,P002,2024-07-07,4,2,6,Virtual,1.21
C02670,R004,D0186,P008,2024-07-09,3,1,0,In-person,0.876
C02671,R012,D0804,P004,2024-07-03,4,2,5,In-person,1.109
C02672,R025,D0113,P007,2024-07-21,2,2,2,In-person,0.906
C02673,R054,D0532,P008,2024-07-23,2,1,2,In-person,0.884
C02674,R037,D0614,P008,2024-07-09,4,1,3,In-person,0.911
C02675,R023,D0364,P001,2024-07-12,4,2,3,Clinic Camp,1.043
C02676,R030,D0450,P002,2024-07-18,1,2,0,In-person,0.933
C02677,R040,D0592,P006,2024-07-24,2,1,1,In-person,0.848
C02678,R011,D0028,P008,2024-07-10,4,2,5,Virtual,1.176
C02679,R019,D0702,P008,2024-07-16,2,1,4,In-person,0.754
C02680,R050,D0664,P006,2024-07-06,3,2,2,In-person,0.941
C02681,R033,D0717,P001,2024-07-26,4,1,3,Clinic Camp,1.001
C02682,R072,D0348,P006,2024-07-28,1,2,2,In-person,0.833
C02683,R001,D0299,P003,2024-07-23,1,2,6,In-person,0.81
C02684,R047,D0472,P007,2024-07-26,4,2,0,Clinic Camp,1.071
C02685,R006,D0591,P005,2024-07-24,4,2,4,Virtual,1.168
C02686,R064,D0787,P002,2024-07-26,4,2,2,In-person,1.023
C02687,R056,D0659,P007,2024-07-14,3,2,1,In-person,1.022
C02688,R030,D0059,P008,2024-07-07,1,2,1,In-person,0.98
C02689,R066,D0100,P005,2024-07-30,4,2,2,In-person,1.168
C02690,R008,D0784,P007,2024-07-01,1,2,1,In-person,0.799
C02691,R070,D0301,P001,2024-07-13,1,1,4,In-person,0.694
C02692,R034,D0410,P003,2024-07-23,3,1,2,In-person,0.904
C02693,R011,D0079,P002,2024-07-25,2,1,6,In-person,1.076
C02694,R026,D0151,P003,2024-07-22,4,2,1,Virtual,1.135
C02695,R066,D0368,P004,2024-07-16,4,2,2,In-person,1.046
C02696,R002,D0681,P004,2024-07-29,4,1,2,In-person,1.081
C02697,R017,D0617,P003,2024-07-08,4,1,4,In-person,1.085
C02698,R058,D0724,P005,2024-07-05,3,2,2,Virtual,0.824
C02699,R026,D0184,P002,2024-07-20,4,2,1,In-person,1.113
C02700,R033,D0181,P003,2024-07-10,4,1,2,In-person,0.966
C02701,R062,D0469,P007,2024-07-15,2,1,6,In-person,0.819
C02702,R018,D0407,P005,2024-07-15,2,1,5,Clinic Camp,0.877
C02703,R070,D0058,P001,2024-07-09,3,1,4,Clinic Camp,0.955
C02704,R041,D0462,P003,2024-07-31,4,2,6,In-person,1.054
C02705,R013,D0761,P007,2024-07-12,2,1,5,In-person,0.86
C02706,R018,D0100,P002,2024-07-21,2,1,5,Virtual,0.844
C02707,R024,D0612,P008,2024-07-05,2,1,2,Clinic Camp,0.88
C02708,R017,D0462,P003,2024-07-31,4,1,3,In-person,0.95
C02709,R010,D0367,P006,2024-07-31,3,2,6,In-person,0.912
C02710,R019,D0562,P004,2024-07-03,2,2,6,In-person,0.942
C02711,R022,D0577,P006,2024-07-20,3,1,5,In-person,0.864
C02712,R059,D0567,P007,2024-07-19,3,1,0,Virtual,0.746
C02713,R049,D0089,P002,2024-07-06,3,2,1,In-person,1.052
C02714,R070,D0228,P003,2024-07-24,3,2,3,In-person,1.058
C02715,R037,D0700,P005,2024-07-24,1,1,3,In-person,0.687
C02716,R019,D0021,P003,2024-07-27,1,1,4,In-person,0.68
C02717,R072,D0568,P004,2024-07-19,4,2,1,In-person,1.02
C02718,R013,D0341,P008,2024-07-22,3,1,5,In-person,0.834
C02719,R004,D0128,P002,2024-07-23,4,2,5,In-person,1.081
C02720,R021,D0084,P002,2024-07-24,4,1,1,In-person,0.944
C02721,R027,D0825,P005,2024-07-19,2,1,5,Virtual,0.894
C02722,R004,D0027,P001,2024-07-24,2,2,1,Virtual,0.915
C02723,R059,D0028,P001,2024-07-02,4,1,3,In-person,0.912
C02724,R023,D0029,P007,2024-07-20,1,2,6,In-person,0.914
C02725,R003,D0615,P003,2024-07-07,4,1,2,In-person,1.058
C02726,R007,D0771,P001,2024-07-13,1,2,4,In-person,0.704
C02727,R039,D0141,P006,2024-07-24,2,2,5,In-person,0.986
C02728,R053,D0731,P004,2024-07-04,2,2,3,In-person,0.83
C02729,R055,D0651,P004,2024-07-24,3,1,5,Clinic Camp,1.052
C02730,R045,D0206,P004,2024-07-09,2,1,4,In-person,0.917
C02731,R028,D0048,P002,2024-07-24,4,1,3,In-person,1.037
C02732,R047,D0378,P007,2024-07-24,4,2,0,Virtual,0.942
C02733,R065,D0053,P001,2024-07-01,3,2,5,Clinic Camp,1.051
C02734,R052,D0126,P004,2024-07-08,4,1,2,Virtual,0.986
C02735,R032,D0439,P003,2024-07-25,1,2,1,Clinic Camp,0.628
C02736,R022,D0654,P006,2024-07-11,4,1,6,In-person,1.04
C02737,R003,D0825,P005,2024-07-14,3,1,2,In-person,0.935
C02738,R016,D0534,P004,2024-07-01,1,2,2,In-person,0.723
C02739,R020,D0330,P005,2024-07-22,4,1,6,In-person,1.076
C02740,R057,D0277,P002,2024-07-03,1,2,2,In-person,0.844
C02741,R051,D0594,P002,2024-07-09,3,2,5,In-person,1.141
C02742,R058,D0111,P008,2024-07-15,3,1,3,Clinic Camp,0.871
C02743,R034,D0362,P005,2024-07-24,1,1,0,In-person,0.724
C02744,R004,D0584,P006,2024-07-16,2,1,4,In-person,0.879
C02745,R069,D0727,P008,2024-07-31,1,2,3,Clinic Camp,0.629
C02746,R024,D0050,P008,2024-07-17,4,2,5,In-person,1.072
C02747,R013,D0209,P005,2024-07-08,4,1,2,In-person,0.963
C02748,R022,D0174,P007,2024-07-06,4,1,1,In-person,0.749
C02749,R001,D0552,P005,2024-07-25,2,2,1,In-person,0.942
C02750,R066,D0135,P002,2024-07-15,2,2,3,In-person,0.931
C02751,R062,D0776,P005,2024-07-19,4,2,6,In-person,1.124
C02752,R023,D0763,P008,2024-07-12,2,1,3,In-person,0.892
C02753,R002,D0261,P008,2024-07-09,2,2,0,In-person,0.837
C02754,R063,D0332,P005,2024-07-19,1,1,5,In-person,0.803
C02755,R034,D0295,P008,2024-07-10,4,2,2,Clinic Camp,1.115
C02756,R056,D0127,P002,2024-07-31,1,1,2,In-person,0.75
C02757,R044,D0756,P001,2024-07-23,1,2,5,Clinic Camp,0.742
C02758,R003,D0671,P004,2024-07-26,4,2,0,Virtual,1.014
C02759,R052,D0278,P002,2024-07-09,4,2,0,In-person,1.015
C02760,R009,D0495,P008,2024-07-01,4,2,1,Clinic Camp,1.1
C02761,R043,D0334,P001,2024-07-02,4,2,2,In-person,1.019
C02762,R025,D0157,P005,2024-07-27,1,2,6,In-person,0.83
C02763,R064,D0344,P007,2024-07-28,2,2,4,In-person,0.864
C02764,R030,D0095,P001,2024-07-22,4,2,5,Virtual,1.215
C02765,R017,D0630,P001,2024-07-19,2,1,2,Clinic Camp,0.839
C02766,R046,D0492,P005,2024-07-07,4,1,2,Virtual,1.067
C02767,R001,D0793,P008,2024-07-24,4,2,2,In-person,1.169
C02768,R006,D0006,P001,2024-07-17,4,1,0,In-person,0.861
C02769,R040,D0534,P001,2024-07-19,4,2,3,In-person,0.998
C02770,R016,D0478,P008,2024-07-01,4,1,2,Clinic Camp,0.946
C02771,R065,D0505,P005,2024-07-17,3,2,6,In-person,1.097
C02772,R020,D0847,P006,2024-07-22,1,2,4,In-person,0.76
C02773,R029,D0310,P003,2024-07-24,2,2,6,Clinic Camp,1.014
C02774,R014,D0110,P003,2024-07-05,4,1,1,Clinic Camp,0.97
C02775,R051,D0040,P004,2024-07-01,4,2,0,In-person,0.92
C02776,R051,D0432,P002,2024-07-27,1,1,3,In-person,0.677
C02777,R044,D0314,P004,2024-07-10,3,2,3,In-person,1.03
C02778,R008,D0173,P008,2024-07-15,2,1,3,In-person,1.0
C02779,R012,D0145,P006,2024-07-20,2,2,4,In-person,0.918
C02780,R059,D0274,P007,2024-07-16,3,1,5,In-person,0.966
C02781,R047,D0077,P004,2024-07-30,2,2,2,In-person,0.858
C02782,R069,D0319,P007,2024-07-27,3,2,2,In-person,0.995
C02783,R041,D0531,P004,2024-07-13,1,1,1,In-person,0.678
C02784,R035,D0274,P005,2024-07-06,2,2,2,Clinic Camp,0.885
C02785,R063,D0114,P006,2024-07-31,4,1,4,In-person,1.188
C02786,R052,D0430,P007,2024-07-22,3,2,5,Virtual,1.039
C02787,R004,D0048,P008,2024-07-24,4,2,2,Clinic Camp,0.921
C02788,R063,D0576,P001,2024-07-15,4,1,2,Clinic Camp,1.007
C02789,R041,D0434,P007,2024-07-16,2,1,6,In-person,0.978
C02790,R015,D0332,P006,2024-07-06,2,1,2,In-person,0.87
C02791,R009,D0214,P006,2024-07-14,2,2,1,In-person,0.874
C02792,R034,D0185,P001,2024-07-17,3,2,2,In-person,0.903
C02793,R059,D0153,P004,2024-07-05,2,2,0,In-person,0.799
C02794,R041,D0486,P008,2024-07-20,2,2,2,In-person,0.891
C02795,R037,D0075,P008,2024-07-20,1,1,6,In-person,0.789
C02796,R025,D0611,P002,2024-07-27,2,2,5,Clinic Camp,0.915
C02797,R035,D0269,P004,2024-07-02,4,2,6,In-person,1.215
C02798,R021,D0455,P007,2024-07-07,2,2,2,In-person,0.98
C02799,R020,D0546,P008,2024-07-14,4,2,2,In-person,1.147
C02800,R072,D0520,P003,2024-07-28,2,2,5,Clinic Camp,0.897
C02801,R067,D0670,P007,2024-07-08,2,2,5,Virtual,0.886
C02802,R014,D0473,P007,2024-07-31,3,1,1,Clinic Camp,0.874
C02803,R044,D0722,P002,2024-07-30,1,1,5,In-person,0.833
C02804,R029,D0233,P001,2024-07-03,2,2,0,Clinic Camp,0.876
C02805,R022,D0637,P001,2024-07-12,1,1,1,Clinic Camp,0.756
C02806,R027,D0226,P002,2024-07-09,1,1,3,In-person,0.891
